,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,1,1,3,0,0,1.0,0,2
1,3,3,0,4,1,0,1.0,0,3
2,2,1,1,5,0,0,1.0,0,2
3,3,1,1,3,0,0,1.0,0,3
4,3,3,0,2,1,1,1.0,0,3
5,3,1,1,2,0,0,1.0,0,3
6,3,2,0,3,0,0,1.0,0,2
7,2,1,1,3,1,1,1.0,0,3
8,3,3,0,2,0,0,1.0,0,1
9,3,1,1,2,2,0,1.0,0,3
10,3,1,1,3,0,0,1.0,0,3
11,1,1,1,4,0,0,1.0,0,3
12,1,3,0,2,1,0,2.0,1,3
13,2,1,1,5,1,0,1.0,0,3
14,1,3,0,4,1,0,2.0,1,3
15,2,3,0,2,1,0,1.0,0,1
16,2,1,1,3,0,0,1.0,0,2
17,3,1,1,2,0,0,1.0,0,1
18,3,2,0,3,1,0,1.0,0,3
19,3,3,0,4,0,0,1.0,0,1
20,1,1,1,5,1,0,2.0,0,1
21,3,0,1,1,0,1,1.0,0,3
22,1,3,0,3,0,0,1.0,0,3
23,1,1,1,2,0,1,2.0,0,1
24,1,3,0,4,1,3,6.0,1,1
25,3,1,1,4,1,0,1.0,0,3
26,1,2,0,2,0,1,2.0,1,1
27,3,1,1,2,0,0,1.0,0,1
28,1,1,1,4,0,0,1.0,1,3
29,3,1,1,3,2,0,1.0,0,1
30,2,1,1,4,1,0,1.0,0,3
31,2,1,1,2,2,0,1.0,0,3
32,3,3,0,3,1,2,1.0,0,3
33,3,3,0,3,1,2,1.0,0,3
34,1,1,1,3,1,0,2.0,1,1
35,3,1,1,2,0,0,1.0,0,1
36,3,2,0,3,0,0,1.0,0,3
37,3,2,0,2,0,0,1.0,0,3
38,3,1,1,2,0,0,1.0,0,3
39,3,1,1,3,0,0,2.0,0,3
40,3,1,1,4,0,1,1.0,0,1
41,1,1,1,3,0,0,1.0,1,3
42,3,1,1,4,0,0,1.0,0,3
43,2,3,0,3,0,0,1.0,0,3
44,1,3,0,4,1,0,2.0,1,3
45,3,1,1,2,0,0,1.0,0,3
46,1,1,1,4,0,0,1.0,1,1
47,3,1,1,3,0,0,1.0,0,2
48,1,3,0,5,0,0,2.0,1,1
49,3,3,0,3,0,2,1.0,0,3
50,1,1,1,2,1,0,2.0,1,3
51,2,1,1,3,0,0,1.0,0,1
52,2,2,0,2,2,1,1.0,0,3
53,1,2,0,3,3,2,6.0,1,3
54,2,1,1,3,0,0,1.0,0,1
55,3,0,1,1,4,1,1.0,0,2
56,3,1,1,3,0,0,1.0,0,3
57,3,1,1,2,0,0,1.0,1,3
58,3,1,1,3,1,0,1.0,0,3
59,1,2,0,3,0,0,6.0,1,1
60,3,1,1,2,0,0,1.0,0,3
61,2,1,1,3,0,0,1.0,0,3
62,3,1,1,2,0,0,1.0,0,3
63,3,2,0,2,0,0,1.0,0,2
64,1,0,1,2,2,2,6.0,1,1
65,2,3,0,3,0,0,1.0,0,3
66,3,2,0,2,0,0,1.0,0,2
67,1,1,1,4,0,0,1.0,0,3
68,1,1,1,3,0,0,1.0,1,1
69,1,3,0,5,1,4,6.0,1,3
70,3,2,0,2,0,0,1.0,0,2
71,3,1,1,2,0,0,1.0,0,3
72,3,2,0,3,0,0,1.0,0,3
73,1,1,1,3,0,0,1.0,1,1
74,1,2,0,3,0,0,5.0,1,1
75,1,1,1,3,0,0,5.0,1,1
76,3,1,1,3,0,0,1.0,0,3
77,1,3,0,5,2,0,1.0,1,3
78,2,1,1,3,0,0,1.0,0,3
79,3,2,0,2,0,0,1.0,0,2
80,3,0,1,1,1,1,1.0,0,1
81,1,1,1,6,1,0,5.0,1,3
82,1,1,1,4,0,0,1.0,0,3
83,3,1,1,3,0,0,1.0,0,3
84,2,1,1,3,0,0,1.0,0,2
85,3,1,1,3,1,0,1.0,0,1
86,3,2,0,3,0,0,1.0,0,2
87,3,2,0,2,0,0,1.0,0,3
88,3,0,0,3,0,0,1.0,0,2
89,2,0,1,1,1,1,1.0,0,3
90,3,3,0,2,1,0,1.0,0,3
91,3,1,1,3,0,0,1.0,0,3
92,1,3,0,3,1,2,2.0,1,3
93,3,1,1,3,0,0,1.0,0,3
94,1,1,1,2,0,0,1.0,0,1
95,3,1,1,2,0,0,1.0,0,3
96,1,3,0,6,1,0,2.0,1,3
97,3,1,1,3,0,0,1.0,0,3
98,3,2,0,2,0,0,1.0,0,3
99,3,1,1,3,0,0,1.0,0,3
100,1,3,0,4,1,0,2.0,1,1
101,2,1,1,3,1,0,1.0,0,3
102,3,1,1,3,0,0,1.0,0,2
103,3,1,1,3,0,0,1.0,0,3
104,3,3,0,2,1,1,1.0,0,1
105,3,1,1,3,0,0,1.0,0,3
106,3,1,1,2,0,0,1.0,0,2
107,3,1,1,3,0,0,1.0,0,2
108,3,1,1,3,0,0,1.0,0,3
109,2,1,1,2,0,0,1.0,1,3
110,2,1,1,4,0,0,1.0,0,1
111,3,2,0,3,0,0,1.0,0,2
112,1,2,0,3,0,0,1.0,1,1
113,3,2,0,2,0,0,1.0,0,2
114,1,3,0,5,1,0,5.0,1,3
115,3,1,1,2,1,0,1.0,0,1
116,3,1,1,3,0,0,1.0,0,1
117,3,2,0,1,1,1,1.0,1,3
118,1,1,1,3,0,0,2.0,1,1
119,2,3,0,3,1,0,1.0,0,3
120,2,2,0,1,0,0,1.0,0,3
121,3,1,1,3,1,0,1.0,0,2
122,1,3,0,3,1,0,2.0,1,1
123,3,1,1,3,0,0,1.0,0,3
124,3,1,1,3,0,0,1.0,0,2
125,3,2,0,2,0,1,1.0,0,3
126,3,1,1,2,0,0,1.0,0,3
127,3,2,0,3,2,0,1.0,0,2
128,2,1,1,4,0,0,1.0,0,3
129,3,1,1,2,0,0,1.0,0,3
130,3,1,1,3,0,0,1.0,0,3
131,1,0,1,5,0,0,1.0,1,1
132,3,3,0,3,0,4,1.0,0,3
133,3,1,1,3,1,0,1.0,0,1
134,3,1,1,4,0,0,1.0,0,3
135,3,1,1,2,0,0,1.0,0,3
136,3,1,1,3,0,0,1.0,0,1
137,2,1,1,3,0,0,1.0,0,3
138,3,2,0,2,0,0,1.0,0,3
139,3,1,1,4,1,6,1.0,0,3
140,3,2,0,1,5,2,1.0,0,3
141,1,2,0,3,0,0,3.0,0,3
142,1,1,1,5,1,3,6.0,1,1
143,2,1,1,3,0,0,1.0,0,3
144,1,1,1,4,0,0,1.0,0,3
145,3,1,1,3,3,0,1.0,0,3
146,1,1,1,3,0,0,2.0,1,3
147,3,1,1,2,0,0,1.0,0,3
148,1,1,1,3,0,0,1.0,0,3
149,2,0,1,3,1,1,1.0,0,3
150,1,3,0,2,0,1,2.0,1,1
151,3,1,1,3,0,0,1.0,0,1
152,3,1,1,5,0,0,,0,3
153,3,3,0,3,0,2,1.0,0,3
154,3,0,1,2,4,2,1.0,0,3
155,3,1,1,2,0,0,1.0,0,3
156,1,2,0,3,0,0,5.0,1,3
157,3,2,0,2,0,0,1.0,0,3
158,1,1,1,4,0,0,1.0,1,3
159,3,3,0,3,0,2,1.0,0,3
160,3,2,0,3,0,0,1.0,0,2
161,3,0,1,1,1,1,1.0,0,1
162,2,2,0,3,0,0,1.0,0,3
163,3,1,1,3,0,0,1.0,0,3
164,2,0,1,4,0,0,1.0,0,3
165,3,3,0,3,1,1,1.0,0,3
166,1,1,1,4,0,0,1.0,1,1
167,3,1,1,2,2,2,1.0,0,3
168,1,3,0,3,0,0,1.0,0,1
169,3,2,0,2,0,0,1.0,0,3
170,3,1,1,3,0,0,1.0,0,3
171,3,1,1,3,0,0,1.0,0,1
172,3,1,1,2,1,0,1.0,0,3
173,3,1,1,3,0,0,1.0,0,1
